time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,-0.014,2.166,0.0197,0.9998,690.0,182.7424,0.2
0.04,-0.014,2.166,0.0197,0.9998,690.0,182.7424,0.2
0.06,-0.014,2.166,0.0197,0.9998,697.0,182.7424,0.2
0.08,-0.014,2.166,0.0197,0.9998,690.0,182.7424,0.2
0.1,-0.014,2.166,0.0197,0.9998,690.0,182.7424,0.2
0.12,-0.014,2.166,0.0197,0.9998,693.0,182.7424,0.2
0.14,-0.014,2.166,0.0197,0.9998,694.0,182.7424,0.2
0.16,-0.014,2.166,0.0197,0.9998,694.0,182.7424,0.2
0.18,-0.0139,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.2,-0.0139,2.166,0.0197,0.9998,688.0,111.7424,0.17
0.22,-0.014,2.166,0.0197,0.9998,688.0,111.7424,0.17
0.24,-0.014,2.166,0.0197,0.9998,690.0,111.7424,0.17
0.26,-0.014,2.166,0.0197,0.9998,690.0,111.7424,0.17
0.28,-0.014,2.166,0.0197,0.9998,694.0,111.7424,0.17
0.3,-0.014,2.166,0.0197,0.9998,699.0,111.7424,0.17
0.32,-0.014,2.166,0.0197,0.9998,699.0,111.7424,0.17
0.34,-0.0139,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.36,-0.0139,2.166,0.0197,0.9998,696.0,111.7424,0.17
0.38,-0.014,2.166,0.0197,0.9998,696.0,111.7424,0.17
0.4,-0.014,2.166,0.0197,0.9998,690.0,111.7424,0.17
0.42,-0.014,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.44,-0.0139,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.46,-0.014,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.48,-0.014,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.5,-0.014,2.166,0.0197,0.9998,694.0,111.7424,0.17
0.52,-0.014,2.166,0.0197,0.9998,695.0,111.7424,0.17
0.54,-0.0139,2.166,0.0197,0.9998,695.0,111.7424,0.17
0.56,-0.0139,2.166,0.0197,0.9998,698.0,111.7424,0.17
0.58,-0.0139,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.6,-0.014,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.62,-0.014,2.166,0.0197,0.9998,694.0,111.7424,0.17
0.64,-0.014,2.166,0.0197,0.9998,694.0,111.7424,0.17
0.66,-0.0139,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.68,-0.014,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.7,-0.014,2.166,0.0197,0.9998,693.0,111.7424,0.17
0.72,-0.0139,2.166,0.0197,0.9998,689.0,111.7424,0.17
0.74,-0.0139,2.166,0.0197,0.9998,698.0,111.7424,0.17
0.76,-0.0139,2.166,0.0197,0.9998,698.0,111.7424,0.17
0.78,-0.014,2.166,0.0197,0.9998,692.0,111.7424,0.17
0.8,-0.014,2.166,0.0197,0.9998,692.0,111.7424,0.17
0.82,-0.0139,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.84,-0.0139,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.86,-0.0139,2.166,0.0197,0.9998,691.0,111.7424,0.17
0.88,-0.0139,2.166,0.0197,0.9998,686.0,111.7424,0.17
0.9,-0.0139,2.166,0.0197,0.9998,686.0,111.7424,0.17
0.92,-0.014,2.166,0.0197,0.9998,692.0,111.7424,0.17
0.94,-0.014,2.166,0.0197,0.9998,689.0,111.7424,0.17
0.96,-0.014,2.166,0.0197,0.9998,689.0,111.7424,0.17
0.98,-0.0139,2.166,0.0197,0.9998,695.0,111.7424,0.17
1.0,-0.014,2.166,0.0197,0.9998,692.0,111.7424,0.17
1.02,-0.014,2.166,0.0197,0.9998,692.0,111.7424,0.17
1.04,-0.014,2.166,0.0197,0.9998,689.0,111.7424,0.17
1.06,-0.014,2.166,0.0197,0.9998,691.0,111.7424,0.17
1.08,-0.014,2.166,0.0197,0.9998,691.0,111.7424,0.17
1.1,-0.014,2.166,0.0197,0.9998,690.0,111.7424,0.17
