time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,0.494,1.673,-0.6907,0.7232,706.0,134.3665,0.46
0.04,0.494,1.673,-0.6907,0.7232,705.0,134.3665,0.46
0.06,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.08,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.1,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.12,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.14,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.16,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.18,0.494,1.673,-0.6907,0.7232,711.0,175.3665,0.4
0.2,0.494,1.673,-0.6907,0.7232,711.0,175.3665,0.4
0.22,0.494,1.673,-0.6907,0.7232,701.0,175.3665,0.4
0.24,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.26,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.28,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.3,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.32,0.494,1.673,-0.6907,0.7232,706.0,175.3665,0.4
0.34,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.36,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.38,0.494,1.673,-0.6907,0.7232,709.0,175.3665,0.4
0.4,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.42,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.44,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.46,0.494,1.673,-0.6907,0.7232,701.0,175.3665,0.4
0.48,0.494,1.673,-0.6907,0.7232,701.0,175.3665,0.4
0.5,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.52,0.494,1.673,-0.6907,0.7232,706.0,175.3665,0.4
0.54,0.494,1.673,-0.6907,0.7232,706.0,175.3665,0.4
0.56,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.58,0.494,1.673,-0.6907,0.7232,701.0,175.3665,0.4
0.6,0.494,1.673,-0.6907,0.7232,701.0,175.3665,0.4
0.62,0.494,1.673,-0.6907,0.7232,699.0,175.3665,0.4
0.64,0.494,1.673,-0.6907,0.7232,699.0,175.3665,0.4
0.66,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.68,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.7,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.72,0.494,1.673,-0.6907,0.7232,708.0,175.3665,0.4
0.74,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.76,0.494,1.673,-0.6907,0.7232,703.0,175.3665,0.4
0.78,0.494,1.673,-0.6907,0.7232,706.0,175.3665,0.4
0.8,0.494,1.673,-0.6907,0.7232,700.0,175.3665,0.4
0.82,0.494,1.673,-0.6907,0.7232,700.0,175.3665,0.4
0.84,0.494,1.673,-0.6907,0.7232,710.0,175.3665,0.4
0.86,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.88,0.494,1.673,-0.6907,0.7232,704.0,175.3665,0.4
0.9,0.494,1.673,-0.6907,0.7232,706.0,175.3665,0.4
0.92,0.494,1.673,-0.6907,0.7232,697.0,175.3665,0.4
0.94,0.494,1.673,-0.6907,0.7232,697.0,175.3665,0.4
0.96,0.494,1.673,-0.6907,0.7232,707.0,175.3665,0.4
0.98,0.494,1.673,-0.6907,0.7232,708.0,157.3665,0.29
1.0,0.494,1.673,-0.6907,0.7232,708.0,157.3665,0.29
1.02,0.494,1.673,-0.6907,0.7232,705.0,157.3665,0.29
1.04,0.494,1.673,-0.6907,0.7232,702.0,157.3665,0.29
1.06,0.494,1.673,-0.6907,0.7232,702.0,157.3665,0.29
1.08,0.494,1.673,-0.6907,0.7232,702.0,157.3665,0.29
1.1,0.494,1.673,-0.6907,0.7232,704.0,157.3665,0.29
1.12,0.494,1.673,-0.6907,0.7232,704.0,157.3665,0.29
1.14,0.494,1.673,-0.6907,0.7232,707.0,157.3665,0.29
1.16,0.494,1.673,-0.6907,0.7232,700.0,157.3665,0.29
1.18,0.494,1.673,-0.6907,0.7232,700.0,157.3665,0.29
1.2,0.494,1.673,-0.6907,0.7232,703.0,157.3665,0.29
1.22,0.494,1.673,-0.6907,0.7232,700.0,157.3665,0.29
1.24,0.494,1.673,-0.6907,0.7232,700.0,157.3665,0.29
1.26,0.494,1.673,-0.6907,0.7232,707.0,157.3665,0.29
1.28,0.494,1.673,-0.6907,0.7232,707.0,157.3665,0.29
1.3,0.494,1.673,-0.6907,0.7232,704.0,157.3665,0.29
1.32,0.494,1.673,-0.6907,0.7232,704.0,157.3665,0.29
1.34,0.494,1.673,-0.6907,0.7232,704.0,157.3665,0.29
1.36,0.494,1.673,-0.6907,0.7232,698.0,157.3665,0.29
1.38,0.494,1.673,-0.6907,0.7232,702.0,157.3665,0.29
