time,x,y,z,w,plume,glbWindBlowDir,windSpd
0.02,2.586,0.1817,-0.6725,0.7401,728.0,198.5204,0.14
0.04,2.586,0.1817,-0.6725,0.7401,726.0,198.5204,0.14
0.06,2.586,0.1817,-0.6725,0.7401,726.0,198.5204,0.14
0.08,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.1,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.12,2.586,0.1817,-0.6725,0.7401,722.0,198.5204,0.14
0.14,2.586,0.1817,-0.6725,0.7401,730.0,198.5204,0.14
0.16,2.586,0.1817,-0.6725,0.7401,729.0,198.5204,0.14
0.18,2.586,0.1817,-0.6725,0.7401,729.0,198.5204,0.14
0.2,2.586,0.1817,-0.6725,0.7401,722.0,198.5204,0.14
0.22,2.586,0.1817,-0.6725,0.7401,722.0,198.5204,0.14
0.24,2.586,0.1817,-0.6725,0.7401,727.0,198.5204,0.14
0.26,2.586,0.1817,-0.6725,0.7401,729.0,198.5204,0.14
0.28,2.586,0.1817,-0.6725,0.7401,729.0,198.5204,0.14
0.3,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.32,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.34,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.36,2.586,0.1817,-0.6725,0.7401,727.0,198.5204,0.14
0.38,2.586,0.1817,-0.6725,0.7401,727.0,198.5204,0.14
0.4,2.586,0.1817,-0.6725,0.7401,727.0,198.5204,0.14
0.42,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.44,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.46,2.586,0.1817,-0.6725,0.7401,724.0,198.5204,0.14
0.48,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.5,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.52,2.586,0.1817,-0.6725,0.7401,728.0,198.5204,0.14
0.54,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.56,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.58,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.6,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.62,2.586,0.1817,-0.6725,0.7401,730.0,198.5204,0.14
0.64,2.586,0.1817,-0.6725,0.7401,726.0,198.5204,0.14
0.66,2.586,0.1817,-0.6725,0.7401,726.0,198.5204,0.14
0.68,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.7,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.72,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.74,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.76,2.586,0.1817,-0.6725,0.7401,721.0,198.5204,0.14
0.78,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.8,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.82,2.586,0.1817,-0.6725,0.7401,723.0,198.5204,0.14
0.84,2.586,0.1817,-0.6725,0.7401,725.0,198.5204,0.14
0.86,2.586,0.1817,-0.6725,0.7401,714.0,211.5204,0.1
0.88,2.586,0.1817,-0.6725,0.7401,714.0,211.5204,0.1
0.9,2.586,0.1817,-0.6725,0.7401,726.0,211.5204,0.1
0.92,2.586,0.1817,-0.6725,0.7401,726.0,211.5204,0.1
0.94,2.586,0.1817,-0.6725,0.7401,724.0,211.5204,0.1
0.96,2.586,0.1817,-0.6725,0.7401,728.0,211.5204,0.1
0.98,2.586,0.1817,-0.6725,0.7401,728.0,211.5204,0.1
1.0,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
1.02,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
1.04,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
1.06,2.586,0.1817,-0.6725,0.7401,727.0,211.5204,0.1
1.08,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
1.1,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
1.12,2.586,0.1817,-0.6725,0.7401,722.0,211.5204,0.1
