time,x,y,behavior,action
0.0333,-2.616904129916616,-0.396450077849003,Out,5
0.0667,-2.6168993411006523,-0.39647496812366034,Out,5
0.1,-2.617057245901938,-0.3956548499798669,Out,5
0.1333,-2.6174489099572686,-0.39361659691328166,Out,5
0.1667,-2.617901899776987,-0.39122935316444485,Out,5
0.2,-2.618373987751988,-0.38866537535232504,Out,5
0.2333,-2.618826956648302,-0.38609806507512046,Out,5
0.2667,-2.619273244268766,-0.3834269639048884,Out,5
0.3,-2.6196783172615565,-0.3808517409103467,Out,5
0.3333,-2.620062586226663,-0.3782731296132895,Out,5
0.3667,-2.620428051438589,-0.3756664003496537,Out,5
0.4,-2.6207683317554364,-0.3730561376061874,Out,5
0.4333,-2.6210937497475033,-0.37036753654909216,Out,5
0.4667,-2.6213978309791504,-0.3676509022641734,Out,5
0.5,-2.621655014026942,-0.365132936910721,Out,5
0.5333,-2.6218797481357026,-0.3626881154069288,Out,5
0.5667,-2.6220953067590433,-0.3600646108016492,Out,5
0.6,-2.6222894957901843,-0.35738861328936755,Out,5
0.6333,-2.62245818788392,-0.35473631376666637,Out,5
0.6667,-2.622605079431236,-0.3520827014171126,Out,5
0.7,-2.622821735190365,-0.3468225127017184,Out,5
0.7333,-2.6228959210792744,-0.3440646926202424,Out,5
0.7667,-2.6228959210792744,-0.3440646926202424,Out,5
0.8,-2.6229651776857157,-0.3386993390289228,ObstacleAvoidance,5
0.8333,-2.6229606550104623,-0.33611771136426505,ObstacleAvoidance,5
0.8667,-2.6229309165501733,-0.33356147780567236,ObstacleAvoidance,5
0.9,-2.622888558667122,-0.33168890754576497,ObstacleAvoidance,5
0.9333,-2.622867350972377,-0.33108180036411294,ObstacleAvoidance,5
0.9667,-2.6228177838142597,-0.33004522199453623,ObstacleAvoidance,5
1.0,-2.6227091493795216,-0.3280233243228756,Out,5
1.0333,-2.622590243844823,-0.32564711142561764,Out,5
1.0667,-2.622474835838824,-0.3229159431609596,Out,5
1.1,-2.622377905163226,-0.3201082161433635,Out,5
1.1333,-2.6222948723611594,-0.31760389885723006,Out,5
1.1667,-2.6221935981106537,-0.3150748558374845,Out,5
1.2,-2.622061642089987,-0.31242056328115697,Out,5
1.2333,-2.621906877166003,-0.309792841012015,Out,5
1.2667,-2.6217240028655304,-0.30709076928435275,Out,5
1.3,-2.6213519198032342,-0.30437242545322407,ObstacleAvoidance,5
1.3333,-2.619833463245998,-0.3017317087409159,ObstacleAvoidance,5
1.3667,-2.6182400108224795,-0.2989107331069494,ObstacleAvoidance,5
1.4,-2.616665435265472,-0.29606969903833313,ObstacleAvoidance,5
