time,x,y,behavior,action
0.0333,-2.9433556039721904,1.4855870442502386,Out,5
0.0667,-2.943169838972535,1.4848508120505217,Out,5
0.1,-2.942681328054772,1.482937999077156,Out,5
0.1333,-2.942065130931045,1.4805876377256186,Out,5
0.1667,-2.9413695242435303,1.478022696050517,Out,5
0.2,-2.940657066687702,1.4754886535597538,Out,5
0.2333,-2.9399268977689967,1.4729860419775505,Out,5
0.2667,-2.939193489965841,1.470563538316649,Out,5
0.3,-2.9384370935930395,1.4681481303500212,Out,5
0.3333,-2.9376111840142616,1.4655955336630124,Out,5
0.3667,-2.936776409868304,1.4630991479654476,ObstacleAvoidance,5
0.4,-2.93595121048668,1.4607064128723057,ObstacleAvoidance,5
0.4333,-2.9350700550878854,1.45822592983221,ObstacleAvoidance,5
0.4667,-2.934174170553336,1.455777735059203,Out,5
0.5,-2.9332812316113333,1.453409393828672,Out,5
0.5333,-2.932302071777099,1.450884362392352,Out,5
0.5667,-2.931317951741807,1.4484156065387628,Out,5
0.6,-2.9303864773027852,1.4461440561861378,Out,5
0.6333,-2.9293642680104037,1.4437183324401,Out,5
0.6667,-2.9283188835300034,1.4413025694114587,Out,5
0.7,-2.927259683518412,1.4389204127892783,Out,5
0.7333,-2.9261675316921947,1.4365252995234392,Out,5
0.7667,-2.925064656994549,1.4341631449996335,Out,5
0.8,-2.923895588544423,1.4317202871103047,Out,5
0.8333,-2.922747706901322,1.4293796267735681,Out,5
0.8667,-2.921488236939055,1.426868324024312,Out,5
0.9,-2.9202520429545173,1.424458671033132,Out,5
0.9333,-2.919086246510372,1.4222405553440511,Out,5
0.9667,-2.9178742651054526,1.4199897915062862,Out,5
1.0,-2.916541741959784,1.4175741407806444,Out,5
1.0333,-2.915260404727871,1.4153037833571203,Out,5
1.0667,-2.9139465438222945,1.4130228058028989,Out,5
1.1,-2.9125350799273213,1.4106229631225464,Out,5
1.1333,-2.911191809320115,1.4083887209292252,Out,5
1.1667,-2.9098161100880677,1.4061444934914233,Out,5
1.2,-2.908327923067697,1.4037614418752993,ObstacleAvoidance,5
1.2333,-2.9055186003784583,1.39939897535717,ObstacleAvoidance,5
1.2667,-2.9039766708751262,1.3970604119086978,ObstacleAvoidance,5
1.3,-2.902462978778337,1.394788794474227,Out,5
1.3333,-2.9008753217428134,1.3924119452281452,Out,5
1.3667,-2.899275052657697,1.3899926655372312,Out,5
1.4,-2.897721340468687,1.3876216255696878,Out,5
1.4333,-2.896337805493319,1.385502123466968,Out,5
1.4667,-2.8949558356799114,1.3834118958450752,Out,5
1.5,-2.8935002878568565,1.3812491475050852,Out,5
1.5333,-2.891999589443933,1.3790558730791354,Out,5
1.5667,-2.8904088325455577,1.3767708664894385,Out,5
1.6,-2.888944113031539,1.3747067461579379,Out,5
1.6333,-2.8873718811721014,1.3725326747892068,Out,5
1.6667,-2.885705766746591,1.3702705517287304,Out,5
1.7,-2.8841555671573165,1.3682060802254625,Out,5
1.7333,-2.8825715083869605,1.3661355781395554,Out,5
