time,x,y,behavior,action
0.0333,-2.5525041606732395,-0.3972068574912577,Out,4
0.0667,-2.5525053768272326,-0.3971816312907006,Out,4
0.1,-2.5525347680772486,-0.39657487959352355,Out,4
0.1333,-2.552630759034357,-0.39452693951032325,Out,4
0.1667,-2.552734000747308,-0.39217534714660207,Out,4
0.2,-2.552834443617943,-0.38954498329455167,Out,4
0.2333,-2.552913678911888,-0.38686317248452995,ObstacleAvoidance,4
0.2667,-2.5529652119116952,-0.3842313602679772,ObstacleAvoidance,4
0.3,-2.5529913516925276,-0.3815738808246707,ObstacleAvoidance,4
0.3333,-2.5529937276870833,-0.37894154566940164,ObstacleAvoidance,4
0.3667,-2.5529783946021656,-0.37709391786744884,ObstacleAvoidance,4
0.4,-2.552965564792959,-0.37646124573871576,ObstacleAvoidance,4
0.4333,-2.552962919938637,-0.3763853990782877,ObstacleAvoidance,4
0.4667,-2.5529237785983625,-0.37557634854891453,ObstacleAvoidance,4
0.5,-2.5527991207730873,-0.37347929443123196,ObstacleAvoidance,4
0.5333,-2.55263567608603,-0.3711056583851555,ObstacleAvoidance,4
0.5667,-2.552430569445648,-0.3685067458348239,ObstacleAvoidance,4
0.6,-2.5521972486762996,-0.36588480833475523,ObstacleAvoidance,4
0.6333,-2.55194103939575,-0.36329037279362386,ObstacleAvoidance,4
0.6667,-2.551664064473536,-0.3606981672234064,Out,4
0.7,-2.5513745837291135,-0.3580309146566605,Out,4
0.7333,-2.5511075105959864,-0.35543767030865814,Out,4
0.7667,-2.5508699858954036,-0.3529177718778995,ObstacleAvoidance,4
0.8,-2.5506634893153692,-0.3504713856135757,ObstacleAvoidance,4
0.8333,-2.550468020595675,-0.34787171796771266,ObstacleAvoidance,4
0.8667,-2.550282454505005,-0.34506839823280955,ObstacleAvoidance,4
0.9,-2.5501422693023934,-0.34259189406663526,ObstacleAvoidance,4
0.9333,-2.550019264640846,-0.33998777367904154,ObstacleAvoidance,4
0.9667,-2.549912887157889,-0.33720562377042285,ObstacleAvoidance,4
1.0,-2.5498362898980167,-0.3345744427644042,Out,4
1.0333,-2.549786790193555,-0.33206921407797263,Out,4
1.0667,-2.5497599610905235,-0.32938641278315195,Out,4
1.1,-2.5497605615991783,-0.32680477309541,ObstacleAvoidance,4
1.1333,-2.549786724930295,-0.3242991990286992,ObstacleAvoidance,4
1.1667,-2.5498416892287348,-0.32159150073589404,ObstacleAvoidance,4
1.2,-2.5499341706752756,-0.31858092763967627,Out,4
1.2333,-2.5500435043278333,-0.3159255083792547,Out,4
1.2667,-2.5501797894905307,-0.31322070245823963,Out,4
1.3,-2.5503461476891642,-0.31044148034547003,Out,4
1.3333,-2.550519505885789,-0.3079671166829683,Out,4
1.3667,-2.5507406081574664,-0.3052171782204762,Out,4
1.4,-2.5509915113886272,-0.3024443296122933,Out,4
1.4333,-2.551249856903717,-0.299875577648107,Out,4
1.4667,-2.5515286147136758,-0.2973598849891268,Out,4
1.5,-2.551859878072915,-0.294620969432272,Out,4
1.5333,-2.5521985060533083,-0.29203604036946684,Out,4
1.5667,-2.5525650496662013,-0.2894294101213932,Out,4
1.6,-2.5529658078629387,-0.28675104031223486,Out,4
1.6333,-2.5533771606638958,-0.28417675400744535,ObstacleAvoidance,4
1.6667,-2.554293801561871,-0.278915495693268,ObstacleAvoidance,4
1.7,-2.5547743900493853,-0.27635323025623615,ObstacleAvoidance,4
1.7333,-2.55528228555943,-0.2737962399869769,Out,4
1.7667,-2.55528228555943,-0.2737962399869769,Out,4
1.8,-2.5560533592450496,-0.26864668006648673,Out,4
1.8333,-2.555641574328365,-0.26664048462202894,Out,4
1.8667,-2.5552960154784463,-0.26418272130975806,Out,4
1.9,-2.5550501303165354,-0.26175989478351847,Out,4
1.9333,-2.5555671479561735,-0.25915302480630964,Out,4
1.9667,-2.556077649819332,-0.2566997628451335,Out,4
2.0,-2.5566280277339026,-0.2541774713406262,Out,4
2.0333,-2.5572175972995823,-0.2515860251789894,Out,4
2.0667,-2.5578538666131965,-0.24890151159787965,Out,4
2.1,-2.5584970003426566,-0.2462967691734328,Out,4
2.1333,-2.5591326438708024,-0.243820629435193,Out,4
2.1667,-2.5598700403680974,-0.241057257406613,Out,4
2.2,-2.560573074638792,-0.23852057392874149,Out,4
2.2333,-2.5612865799675095,-0.23603945480064104,Out,4
2.2667,-2.5620239079149014,-0.23356533414654201,Out,4
2.3,-2.5620239079149014,-0.23356533414654201,Out,4
2.3333,-2.5627859121381857,-0.23109865352607994,Out,4
2.3667,-2.5643695093649836,-0.22621074977902,ObstacleAvoidance,4
2.4,-2.56523657779234,-0.22364506395610628,ObstacleAvoidance,4
2.4333,-2.566111386286193,-0.22113558784890253,ObstacleAvoidance,4
2.4667,-2.5670336702052983,-0.21856229588442555,ObstacleAvoidance,4
2.5,-2.568010329414644,-0.21590105120674674,ObstacleAvoidance,4
2.5333,-2.568863269923596,-0.21359885585604754,ObstacleAvoidance,4
2.5667,-2.569720827083538,-0.21124436821611592,ObstacleAvoidance,4
2.6,-2.5705987330862934,-0.20876271234215604,ObstacleAvoidance,4
2.6333,-2.571448602330769,-0.2062981680209608,ObstacleAvoidance,4
2.6667,-2.5723078980452905,-0.20372987254833896,ObstacleAvoidance,4
2.7,-2.573101856353012,-0.20127331335716803,Out,4
2.7333,-2.573887050564215,-0.1987608023766967,Out,4
2.7667,-2.5745846608227003,-0.19637484007233286,Out,4
2.8,-2.5749870461929514,-0.19438083588927557,Out,4
2.8333,-2.575328666989566,-0.1924977494687441,Out,4
2.8667,-2.575683136086313,-0.19056896989309158,Out,4
2.9,-2.576303188874421,-0.18825397364070084,Out,4
2.9333,-2.577017532887818,-0.1858257446333741,Out,4
2.9667,-2.577859500800973,-0.18306595305260898,Out,4
