time,x,y,behavior,action
1.3,-2.902462978778337,1.394788794474227,Out,5-5
7.1333,-2.536793196500116,1.1988804954925036,In,4-4
13.0333,-2.2243929365384436,1.1058628244389077,In,4-4
18.9,-1.8410271064809791,1.0407239794894036,In,4
24.8,-1.4662377968599738,1.040918306079693,ObstacleAvoidance,4
30.9333,-1.260001981122925,1.2535257849218029,In,4
36.5667,-0.9992698626552137,1.3485805729406526,ObstacleAvoidance,4
42.4333,-0.549373426682476,1.3642415169483764,In,4
48.3,-0.07570261268000864,1.406533963428947,ObstacleAvoidance,4
54.1333,0.3910344348823949,1.4601023420988493,ObstacleAvoidance,1-2
60.3667,0.8630280616290722,1.5264684053659052,Vision_front,1-1
65.9,1.2909298546966204,1.5740028822595096,Vision_left,3-4
71.7,1.7383423503053574,1.638241602415109,Vision_left,3-1
77.6667,2.1773035460393655,1.648238186787465,Vision_left,3-1
80.9333,2.4222358549137306,1.6862218136185756,Vision_right,2-1
