,x,y,direction,plume,glb_wnd_blw_dir,wind_spd
0,0.2,-0.2,1,678,225.46,0.21
1,0.2,-0.2,3,683,225.46,0.21
2,0.2,-0.2,2,683,225.46,0.21
3,0.2,-0.2,4,683,225.46,0.21
4,0.1,0.4,3,687,202.87,0.45
5,0.1,0.4,4,687,202.87,0.45
6,0.1,0.4,1,685,202.87,0.45
7,0.1,0.4,2,687,202.87,0.45
8,0.0,1.0,2,691,184.1,1.15
9,0.0,1.0,3,691,184.1,1.15
10,0.0,1.0,4,693,184.1,1.15
11,0.0,1.0,1,689,184.1,1.15
12,-0.1,1.6,4,694,179.64,0.58
13,-0.1,1.6,1,694,179.64,0.58
14,-0.1,1.6,3,638,179.64,0.58
15,-0.1,1.6,2,693,179.64,0.58
16,-0.2,2.2,1,692,149.88,0.21
17,-0.2,2.2,2,693,149.88,0.21
18,-0.2,2.2,3,692,149.88,0.21
19,-0.2,2.2,4,693,149.88,0.21
20,0.8,-0.1,2,693,246.65,0.15
21,0.8,-0.1,3,693,246.65,0.15
22,0.8,-0.1,4,693,246.65,0.15
23,0.8,-0.1,1,695,246.65,0.15
24,0.7,-0.5,3,696,200.88,0.25
25,0.7,-0.5,1,694,200.88,0.25
26,0.7,-0.5,2,695,200.88,0.25
27,0.7,-0.5,4,696,200.88,0.25
28,0.6,1.1,2,700,181.58,1.22
29,0.6,1.1,1,699,181.58,1.22
30,0.6,1.1,3,700,181.58,1.22
31,0.6,1.1,4,702,181.58,1.22
32,0.5,1.7,4,704,181.32,0.59
33,0.5,1.7,3,704,181.32,0.59
34,0.5,1.7,2,702,181.32,0.59
35,0.5,1.7,1,701,181.32,0.59
36,0.4,2.3,4,703,123.08,0.2
37,0.4,2.3,2,700,123.08,0.2
38,0.4,2.3,3,701,123.08,0.2
39,0.4,2.3,1,702,123.08,0.2
40,1.4,0.0,2,701,282.98,0.16
41,1.4,0.0,3,701,282.98,0.16
42,1.4,0.0,4,700,282.98,0.16
43,1.4,0.0,1,702,282.98,0.16
44,1.3,0.6,1,700,232.77,0.17
45,1.3,0.6,3,702,232.77,0.17
46,1.3,0.6,4,702,232.77,0.17
47,1.3,0.6,2,701,232.77,0.17
48,1.2,1.2,2,708,184.99,1.24
49,1.2,1.2,3,708,184.99,1.24
50,1.2,1.2,4,708,184.99,1.24
51,1.2,1.2,1,706,184.99,1.24
52,1.1,1.8,4,0,0.0,0.0
53,1.1,1.8,3,0,0.0,0.0
54,1.1,1.8,1,0,0.0,0.0
55,1.1,1.8,2,0,0.0,0.0
56,1.0,2.4,4,706,115.97,0.07
57,1.0,2.4,1,708,115.97,0.07
58,1.0,2.4,2,707,115.97,0.07
59,1.0,2.4,3,706,115.97,0.07
60,2.0,0.1,3,705,247.27,0.18
61,2.0,0.1,4,706,247.27,0.18
62,2.0,0.1,2,705,247.27,0.18
63,2.0,0.1,1,705,247.27,0.18
64,1.9,0.7,4,0,0.0,0.0
65,1.9,0.7,3,0,0.0,0.0
66,1.9,0.7,1,0,0.0,0.0
67,1.9,0.7,2,0,0.0,0.0
68,1.8,1.3,4,712,198.91,0.66
69,1.8,1.3,2,714,198.91,0.66
70,1.8,1.3,1,710,198.91,0.66
71,1.8,1.3,3,713,198.91,0.66
72,1.7,1.9,3,712,132.98,0.3
73,1.7,1.9,1,714,132.98,0.3
74,1.7,1.9,2,714,132.98,0.3
75,1.7,1.9,4,712,132.98,0.3
76,1.6,2.5,1,712,152.07,0.18
77,1.6,2.5,2,711,152.07,0.18
78,1.6,2.5,4,710,152.07,0.18
79,1.6,2.5,3,710,152.07,0.18
80,2.6,0.2,4,724,226.16,0.13
81,2.6,0.2,1,711,226.16,0.13
82,2.6,0.2,3,715,226.16,0.13
83,2.6,0.2,2,712,226.16,0.13
84,2.5,0.8,3,716,280.28,0.13
85,2.5,0.8,2,716,280.28,0.13
86,2.5,0.8,4,716,280.28,0.13
87,2.5,0.8,1,715,280.28,0.13
88,2.4,1.4,4,728,206.84,0.37
89,2.4,1.4,1,727,206.84,0.37
90,2.4,1.4,2,735,206.84,0.37
91,2.4,1.4,3,730,206.84,0.37
92,2.3,2.0,3,720,97.05,0.19
93,2.3,2.0,4,725,97.05,0.19
94,2.3,2.0,1,722,97.05,0.19
95,2.3,2.0,2,720,97.05,0.19
96,2.2,2.6,2,719,112.51,0.12
97,2.2,2.6,4,719,112.51,0.12
98,2.2,2.6,3,720,112.51,0.12
99,2.2,2.6,1,720,112.51,0.12
