time,x,y,behavior,action,chem,linVel,angVel
0.0333,-2.9456595551520897,1.519512853132842,ObstacleAvoidance,5,493.0,0.08,0.3
0.0667,-2.9456595551520897,1.519512853132842,ObstacleAvoidance,5,487.0,0.08,0.3
0.1,-2.945489176021168,1.5187729475544596,ObstacleAvoidance,5,484.0,0.08,0.3
0.1333,-2.945015270554428,1.5167263062745788,Out,5,483.0,0.08,0.3
0.1667,-2.9444609602100846,1.514360557068168,Out,5,487.0,0.08,0.3
0.2,-2.9438397384823682,1.5117765775277316,Out,5,492.0,0.08,0.3
0.2333,-2.9431733131730016,1.5090994672943752,Out,5,489.0,0.08,0.3
0.2667,-2.9424962298142434,1.5064772652702216,Out,5,491.0,0.08,0.3
0.3,-2.9417938233418366,1.5038617019654206,Out,5,490.0,0.08,0.3
0.3333,-2.9411212747137188,1.5014478718786115,ObstacleAvoidance,5,490.0,0.08,0.3
0.3667,-2.940392944814248,1.4989183406478546,ObstacleAvoidance,5,485.0,0.08,0.3
0.4,-2.9396126813847085,1.4962985418433563,ObstacleAvoidance,5,482.0,0.08,0.3
0.4333,-2.9388230723970277,1.4937343936114966,Out,5,482.0,0.08,0.3
0.4667,-2.9380103032352154,1.4911775011540342,Out,5,493.0,0.08,0.3
0.5,-2.9371408455718426,1.488532545624655,Out,5,484.0,0.08,0.3
0.5333,-2.9363112827646476,1.4860878110007891,Out,5,485.0,0.08,0.3
0.5667,-2.9354191829023386,1.4835307434540446,Out,5,491.0,0.08,0.3
0.6,-2.9344796190497435,1.4809098865546697,Out,5,486.0,0.08,0.3
0.6333,-2.9335765815785906,1.4784643479278365,Out,5,490.0,0.08,0.3
0.6667,-2.93264096759112,1.4760038916414338,Out,5,489.0,0.08,0.3
0.7,-2.9316811597621206,1.4735527483558437,Out,5,494.0,0.08,0.3
0.7333,-2.930725440068675,1.4711817446567061,Out,5,488.0,0.08,0.3
0.7667,-2.9297211600633517,1.4687485836072207,Out,5,487.0,0.08,0.3
0.8,-2.9286863153374925,1.466300776606836,Out,5,488.0,0.08,0.3
0.8333,-2.927637776953776,1.463886368363963,Out,5,486.0,0.08,0.3
0.8667,-2.926548963831649,1.4614342816761778,Out,5,489.0,0.08,0.3
0.9,-2.925451788391022,1.4590136719362585,Out,5,489.0,0.08,0.3
0.9333,-2.924354544817145,1.4566488496823444,Out,5,487.0,0.08,0.3
0.9667,-2.923192851497621,1.4542024884973173,Out,5,490.0,0.08,0.3
1.0,-2.9220450867511727,1.4518336472811635,Out,5,493.0,0.08,0.3
1.0333,-2.9208990432575432,1.4495202630564739,Out,5,489.0,0.08,0.3
1.0667,-2.9197538361213433,1.4472631346008273,Out,5,496.0,0.08,0.3
1.1,-2.9184975904040225,1.4448353170538053,ObstacleAvoidance,5,482.0,0.08,0.3
1.1333,-2.917255832404081,1.4424856389024294,ObstacleAvoidance,5,491.0,0.08,-0.3
1.1667,-2.9159804407568113,1.440125209215001,ObstacleAvoidance,5,484.0,0.08,-0.3
1.2,-2.9134285353307354,1.4355203477925063,Out,5,483.0,0.08,-0.3
1.2333,-2.912112876453439,1.433211201743708,Out,5,483.0,0.08,0.3
1.2667,-2.912112876453439,1.433211201743708,Out,5,487.0,0.08,0.3
1.3,-2.911458688147465,1.4312262401229718,Out,5,487.0,0.08,0.3
1.3333,-2.910503671222366,1.427360010406809,Out,5,485.0,0.08,0.3
1.3667,-2.909654734570783,1.4253488738013493,Out,5,480.0,0.08,0.3
1.4,-2.9083922606587196,1.4230969561886986,Out,5,485.0,0.08,0.3
1.4333,-2.90709201725237,1.4208081588467225,Out,5,491.0,0.08,0.3
1.4667,-2.9057896912470267,1.4185497259139463,Out,5,484.0,0.08,0.3
1.5,-2.9045061176140408,1.4163682545324554,Out,5,481.0,0.08,0.3
1.5333,-2.9031900426326485,1.414176662397232,Out,5,491.0,0.08,0.3
1.5667,-2.9018041094373683,1.411909058043899,Out,5,485.0,0.08,0.3
1.6,-2.9003601198161317,1.4095880484971977,Out,5,491.0,0.08,0.3
1.6333,-2.898963501653516,1.407386760316014,Out,5,490.0,0.08,0.3
1.6667,-2.897535649161103,1.4051753292355182,Out,5,491.0,0.08,0.3
1.7,-2.896062383952112,1.402933141350772,Out,5,485.0,0.08,0.3
1.7333,-2.894583044812169,1.4007252571506261,Out,5,483.0,0.08,0.3
1.7667,-2.893071996608015,1.3985083038668618,Out,5,489.0,0.08,0.3
1.8,-2.894528924363,1.4006089175973442,Out,5,486.0,0.08,0.3
1.8333,-2.8930669247099243,1.3985428255730032,ObstacleAvoidance,5,487.0,0.08,0.3
1.8667,-2.8916029916233477,1.3965092151707943,ObstacleAvoidance,5,489.0,0.08,-0.3
1.9,-2.8900496256197017,1.3943840304279629,ObstacleAvoidance,5,492.0,0.08,-0.3
1.9333,-2.8884784778255845,1.392272066076472,ObstacleAvoidance,5,492.0,0.08,-0.3
1.9667,-2.886908695173971,1.3901907199202674,ObstacleAvoidance,5,481.0,0.08,-0.3
2.0,-2.885293111877511,1.3880487219389357,ObstacleAvoidance,5,484.0,0.08,-0.3
2.0333,-2.8836598099287096,1.3858568197128998,ObstacleAvoidance,5,493.0,0.08,-0.3
2.0667,-2.8820902670723885,1.3837121888092363,ObstacleAvoidance,5,482.0,0.08,-0.3
2.1,-2.880600290301144,1.3816349323801864,ObstacleAvoidance,5,482.0,0.08,-0.3
2.1333,-2.8821143855964317,1.38378814807392,ObstacleAvoidance,5,493.0,0.08,-0.3
2.1667,-2.880563141661891,1.3815373184863717,Out,5,489.0,0.08,-0.3
2.2,-2.879062392137332,1.3793134443935071,Out,5,489.0,0.08,0.3
2.2333,-2.8776251588650865,1.3771383488087459,Out,5,482.0,0.08,0.3
2.2667,-2.876153777452345,1.3748646896076053,Out,5,487.0,0.08,0.3
2.3,-2.874648239626233,1.3724926351743743,Out,5,487.0,0.08,0.3
2.3333,-2.873312009046653,1.3703728859818785,Out,5,482.0,0.08,0.3
2.3667,-2.8720668572652057,1.3677066661574662,Out,5,483.0,0.08,0.3
2.4,-2.870684101460358,1.3647535693533936,ObstacleAvoidance,5,482.0,0.08,0.3
2.4333,-2.869276757629804,1.3617829827920551,ObstacleAvoidance,5,487.0,0.08,-0.3
2.4667,-2.8678774524111197,1.3592444677178395,ObstacleAvoidance,5,485.0,0.08,-0.3
2.5,-2.8664510109071366,1.3571230441078121,Out,5,485.0,0.08,-0.3
2.5333,-2.864995439952155,1.3549907650094555,Out,5,493.0,0.08,0.3
2.5667,-2.8634679880711826,1.3527543261832196,Out,5,479.0,0.08,0.3
2.6,-2.8619403173177598,1.3504874858026286,Out,5,490.0,0.08,0.3
2.6333,-2.860488503071863,1.3482917594823993,Out,5,489.0,0.08,0.3
2.6667,-2.858999346493683,1.3459994749386333,Out,5,491.0,0.08,0.3
2.7,-2.857611419164942,1.343852607165431,Out,5,488.0,0.08,0.3
2.7333,-2.8562272227183856,1.3417336288898531,Out,5,483.0,0.08,0.3
2.7667,-2.8531975873602162,1.337213236037998,Out,5,481.0,0.08,0.3
2.8,-2.8547057743382047,1.3394014481731622,Out,5,487.0,0.08,0.3
2.8333,-2.8532068484784694,1.3372685210848676,Out,5,489.0,0.08,0.3
2.8667,-2.8517169085430747,1.3351912862937838,Out,5,487.0,0.08,0.3
2.9,-2.8502101978540373,1.3331260634079067,Out,5,490.0,0.08,0.3
2.9333,-2.848629057038357,1.3309898877425068,ObstacleAvoidance,5,482.0,0.08,0.3
2.9667,-2.8470453488786664,1.32888725571175,ObstacleAvoidance,5,479.0,0.08,-0.3
3.0,-2.845429538565016,1.326777237887562,ObstacleAvoidance,5,483.0,0.08,-0.3
3.0333,-2.843814486430588,1.324698579255895,Out,5,486.0,0.08,-0.3
3.0667,-2.842153251717318,1.3225918538887569,Out,5,489.0,0.08,0.3
3.1,-2.840489462632481,1.3204871012715786,Out,5,492.0,0.08,0.3
3.1333,-2.8388697362202953,1.3184121583043116,Out,5,487.0,0.08,0.3
3.1667,-2.837156905353785,1.3161851454516509,Out,5,494.0,0.08,0.3
3.2,-2.835601636399311,1.3141563060487336,Out,5,486.0,0.08,0.3
3.2333,-2.834004247263552,1.3120960733529299,ObstacleAvoidance,5,496.0,0.08,0.3
3.2667,-2.832344777626827,1.3099879236142824,ObstacleAvoidance,5,484.0,0.08,-0.3
3.3,-2.8307182168432177,1.307950515139971,ObstacleAvoidance,5,490.0,0.08,-0.3
3.3333,-2.829043069308986,1.3058873584381145,ObstacleAvoidance,5,491.0,0.08,-0.3
3.3667,-2.8274635533856105,1.3039748039011234,Out,5,484.0,0.08,-0.3
3.4,-2.8257203728821856,1.3018692340936555,Out,5,490.0,0.08,0.3
3.4333,-2.823958275243115,1.2997136835996237,Out,5,487.0,0.08,0.3
3.4667,-2.822230711144821,1.2975626953616661,Out,5,489.0,0.08,0.3
3.5,-2.820552691435315,1.295436916044482,Out,5,495.0,0.08,0.3
3.5333,-2.8190360299131694,1.2935062225268246,Out,5,484.0,0.08,0.3
3.5667,-2.8174004359554363,1.2914437622168553,ObstacleAvoidance,5,490.0,0.08,0.3
3.6,-2.815624796046089,1.2892340466291423,ObstacleAvoidance,5,487.0,0.08,-0.3
3.6333,-2.813881168844068,1.2870960370062359,ObstacleAvoidance,5,480.0,0.08,-0.3
3.6667,-2.812215492110877,1.2850905402986192,Out,5,480.0,0.08,-0.3
3.7,-2.810548922393436,1.2831188462855754,Out,5,488.0,0.08,0.3
3.7333,-2.808796280573591,1.2810541304661736,Out,5,489.0,0.08,0.3
3.7667,-2.807202537187088,1.2791533872232792,Out,5,488.0,0.08,0.3
3.8,-2.8055142357503398,1.2771009178435833,Out,5,481.0,0.08,0.3
3.8333,-2.8038108930890044,1.2749954688345173,Out,5,482.0,0.08,0.3
3.8667,-2.802141484321463,1.2729276408394687,Out,5,485.0,0.08,0.3
3.9,-2.8005081415871262,1.2709283605949557,Out,5,493.0,0.08,0.3
3.9333,-2.7988104734515074,1.268883659230347,Out,5,481.0,0.08,0.3
3.9667,-2.797143992441478,1.2669118855815709,Out,5,493.0,0.08,0.3
4.0,-2.795443997021214,1.2649354357636469,Out,5,491.0,0.08,0.3
4.0333,-2.7936437544561143,1.2628783691703047,Out,5,488.0,0.08,0.3
4.0667,-2.791892237021148,1.2609134092369656,Out,5,482.0,0.08,0.3
4.1,-2.790258376992838,1.2591148423628726,Out,5,490.0,0.08,0.3
4.1333,-2.7884870789573455,1.2572020829877264,Out,5,482.0,0.08,0.3
4.1667,-2.7866279086083554,1.2552328413401148,Out,5,488.0,0.08,0.3
4.2,-2.784855423394136,1.2533906741816843,ObstacleAvoidance,5,492.0,0.08,0.3
4.2333,-2.781012224740088,1.2495024433381077,ObstacleAvoidance,5,483.0,0.08,-0.3
4.2667,-2.7791153318742023,1.2476410785299004,ObstacleAvoidance,5,488.0,0.08,-0.3
4.3,-2.7771832442102005,1.2457795898797346,ObstacleAvoidance,5,489.0,0.08,-0.3
4.3333,-2.7751626431280925,1.2438641168892262,Out,5,485.0,0.08,-0.3
4.3667,-2.773322135640459,1.2421265898723626,Out,5,482.0,0.08,0.3
4.4,-2.771473697763725,1.2403607782227684,Out,5,485.0,0.08,0.3
4.4333,-2.76953090256584,1.2384739786770158,Out,5,482.0,0.08,0.3
4.4667,-2.7675833885890126,1.2365556909258695,Out,5,490.0,0.08,0.3
4.5,-2.7657464149782593,1.2347416201992538,Out,5,486.0,0.08,0.3
4.5333,-2.7638986261256457,1.2329387004845858,Out,5,481.0,0.08,0.3
4.5667,-2.7620709126579532,1.2311877654402252,Out,5,484.0,0.08,0.3
4.6,-2.760153957969508,1.22938381982767,Out,5,487.0,0.08,0.3
4.6333,-2.758110066168531,1.227493260706251,Out,5,484.0,0.08,0.3
4.6667,-2.7561982618578234,1.2257582228447905,Out,5,486.0,0.08,0.3
4.7,-2.754232879009989,1.224007044430219,Out,5,487.0,0.08,0.3
4.7333,-2.75211878628563,1.2221565986397602,Out,5,483.0,0.08,0.3
4.7667,-2.750160494297528,1.2204743481290143,Out,5,491.0,0.08,0.3
4.8,-2.748147575417347,1.2187781798033677,Out,5,486.0,0.08,0.3
4.8333,-2.7460796476004083,1.2170689172351823,Out,5,483.0,0.08,0.3
4.8667,-2.7441525006000336,1.2155073716251539,Out,5,487.0,0.08,0.3
4.9,-2.7421309089002395,1.213901651969701,Out,5,484.0,0.08,0.3
4.9333,-2.7400350465222427,1.2122674493747398,Out,5,483.0,0.08,0.3
4.9667,-2.737924389184119,1.2106524561005263,Out,5,486.0,0.08,0.3
5.0,-2.7358191109070873,1.2090723632529765,Out,5,491.0,0.08,0.3
5.0333,-2.7336024890519823,1.2073195884708259,Out,5,484.0,0.08,0.3
5.0667,-2.7305613386273206,1.2041197640948857,Out,5,493.0,0.08,0.3
5.1,-2.7276301924196065,1.2010252329235156,Out,5,487.0,0.08,0.3
