time,robot x,robot z,robot yaw,gpt decision
0.0009717941284179688,-1.0,1.0,270.0,2
3.5650646686553955,-1.0,1.0,0.0,1
7.22011923789978,-1.0,1.5,0.0,2
12.543808221817017,-1.0,1.5,90.0,1
17.84089422225952,-0.5,1.5,90.0,1
22.197258710861206,0.0,1.5,90.0,1
26.220240592956543,0.5,1.5,90.0,1
29.24319887161255,1.0,1.5,90.0,1
33.679973125457764,1.5,1.5,90.0,2
37.65244245529175,1.5,1.5,180.0,1
42.71467852592468,1.5,1.0,180.0,1
46.38230490684509,1.5,0.5,180.0,1
50.273600578308105,1.5,0.0,180.0,1
54.38818120956421,1.5,-0.5,180.0,1
58.1581130027771,1.5,-1.0,180.0,1
62.72023344039917,1.5,-1.5,180.0,2
67.2445957660675,1.5,-1.5,270.0,1
71.21961688995361,1.0,-1.5,270.0,1
